ICAO,OPENCount,ClosedCount,AmbersAlloted,AmberCount,RedCount,RedCapMet,AmberCapMet
BRS,0,0,0,0,0,false,false
BWJ,0,0,0,0,0,false,false
A7T,0,0,0,0,0,false,false
TBJ,0,0,0,0,0,false,false
EWE,0,0,0,0,0,false,false
OZW,0,0,0,0,0,false,false
FOO,0,0,0,0,0,false,false
TVJ,0,0,0,0,0,false,false
LMU,0,0,0,0,0,false,false
VJC,0,0,0,0,0,false,false
SDM,0,0,0,0,0,false,false
SEY,0,0,0,0,0,false,false
SAW,0,0,0,0,0,false,false
THD,0,0,0,0,0,false,false
FHY,0,0,0,0,0,false,false
VOZ,0,0,0,0,0,false,false
QF,0,0,0,0,0,false,false
PKZ,0,0,0,0,0,false,false
38W,0,0,0,0,0,false,false
VAM,0,0,0,0,0,false,false
SFB,0,0,0,0,0,false,false
SSV,0,0,0,0,0,false,false
AEA,0,0,0,0,0,false,false
IRA,0,0,0,0,0,false,false
MJN,0,0,0,0,0,false,false
NVR,0,0,0,0,0,false,false
RSF,0,0,0,0,0,false,false
JAI,0,0,0,0,0,false,false
36P,0,0,0,0,0,false,false
BOS,0,0,0,0,0,false,false
LDM,0,0,0,0,0,false,false
34N,0,0,0,0,0,false,false
A8F,0,0,0,0,0,false,false
TCX,0,0,0,0,0,false,false
73W,0,0,0,0,0,false,false
IRC,0,0,0,0,0,false,false
41N,0,0,0,0,0,false,false
F2I,0,0,0,0,0,false,false
SYR,0,0,0,0,0,false,false
KKK,0,0,0,0,0,false,false
SXD,0,0,0,0,0,false,false
BSX,0,0,0,0,0,false,false
MFX,0,0,0,0,0,false,false
CIL,0,0,0,0,0,false,false
SAFRAN,0,0,0,0,0,false,false
LZB,0,0,0,0,0,false,false
TCN,0,0,0,0,0,false,false
ISS,0,0,0,0,0,false,false
ÉAE,0,0,0,0,0,false,false
SND,0,0,0,0,0,false,false
IYE,0,0,0,0,0,false,false
KMF,0,0,0,0,0,false,false
CYP,0,0,0,0,0,false,false
USA,0,0,0,0,0,false,false
320,0,0,0,0,0,false,false
QR,0,0,0,0,0,false,false
ADR,0,0,0,0,0,false,false
LKE,0,0,0,0,0,false,false
MDG,0,0,0,0,0,false,false
RIH,0,0,0,0,0,false,false
17M,0,0,0,0,0,false,false
SLK,0,0,0,0,0,false,false
12P,0,0,0,0,0,false,false
SZN,0,0,0,0,0,false,false
99Y,0,0,0,0,0,false,false
MRTT,0,0,0,0,0,false,false
IZG,0,0,0,0,0,false,false
15R,0,0,0,0,0,false,false
ALL A/L,0,0,0,0,0,false,false
OTF,0,0,0,0,0,false,false
ORF,0,0,0,0,0,false,false
GMI,0,0,0,0,0,false,false
SWM,0,0,0,0,0,false,false
EAD,0,0,0,0,0,false,false
LGW,0,0,0,0,0,false,false
ALD,0,0,0,0,0,false,false
OMA,0,0,0,0,0,false,false
10N,0,0,0,0,0,false,false
ADS,0,0,0,0,0,false,false
GWI,0,0,0,0,0,false,false
TCW,0,0,0,0,0,false,false
SNG,0,0,0,0,0,false,false
PRI,0,0,0,0,0,false,false
HIM,0,0,0,0,0,false,false
CTB,0,0,0,0,0,false,false
